assists_x,clean_sheets_x,expected_goal_involvements,expected_goals_conceded,goals_conceded_x,goals_scored_x,minutes,round,selected,starts,threat,total_points,value,id,element_type,first_name,second_name,team,average_total_points,minutes_played,total_starts,avg_selected,goals_scored_y,assists_y,total_xgc,goals_conceded_y,clean_sheets_y,total_xgi,avg_threat
0,0,0.14,1.74,2,0,90,11,917131,1,5.0,1,51,498,DEF,Cristian,Romero,18,1.4,510,6,1035955,0,0,7.52,8.0,1.0,,
0,1,0.44,1.11,0,0,82,11,54487,1,19.0,3,57,587,MID,Crysencio,Summerville,19,2.6,222,2,48196,1,0,,,,1.26,10.5
0,1,0.01,1.16,0,0,64,11,65953,1,2.0,3,53,324,MID,Curtis,Jones,12,5.0,363,4,23933,1,2,,,,1.22,16.0
0,0,0.05,1.38,2,0,75,11,16561,1,0.0,-1,51,205,MID,Daichi,Kamada,7,0.8,317,4,17402,0,0,,,,0.71,6.67
0,0,0.0,0.0,0,0,0,11,8110,0,0.0,0,45,500,FWD,Dane,Scarlett,18,0.0,0,0,9084,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,2836,0,0.0,0,50,74,MID,Dango,Ouattara,3,1.2,257,3,3118,1,0,,,,1.27,11.67
0,0,0.0,0.0,0,0,0,11,178968,0,0.0,0,40,536,GK,Daniel,Bentley,20,0.0,0,0,183669,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,2545,0,0.0,0,55,562,MID,Daniel,Castelo Podence,20,0.0,0,0,2750,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,65448,0,0.0,0,40,294,GK,Daniel,Iversen,11,0.0,0,0,67926,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,151591,0,0.0,0,45,69,FWD,Daniel,Jebbison,3,0.0,0,0,192969,0,0,,,,0.0,0.0
0,0,0.52,1.83,2,0,88,11,184697,1,38.0,1,48,211,DEF,Daniel,Muñoz,7,2.2,464,6,206676,0,1,6.84,8.0,1.0,,
0,0,0.0,0.0,0,0,0,11,1581,0,0.0,0,47,429,MID,Danilo,dos Santos de Oliveira,16,0.0,0,0,1691,0,0,,,,0.0,0.0
0,0,0.32,0.06,0,0,23,11,215652,0,38.0,1,50,523,FWD,Danny,Ings,19,1.8,57,0,240818,0,2,,,,0.51,7.67
0,0,0.0,0.0,0,0,0,11,237134,0,0.0,0,40,308,GK,Danny,Ward,11,0.0,0,0,241590,0,0,0.0,0.0,0.0,,
0,0,0.31,2.22,1,0,90,11,2220379,1,12.0,2,59,148,FWD,Danny,Welbeck,5,6.2,502,6,2102115,3,1,,,,3.23,27.83
0,0,0.14,0.63,1,0,90,11,956149,1,19.0,1,44,395,DEF,Dan,Burn,15,3.4,540,6,1028551,0,0,6.02,5.0,2.0,,
0,0,0.11,1.82,1,0,90,11,88151,1,14.0,2,40,630,DEF,Dara,O'Shea,10,1.0,512,6,82926,0,0,13.26,14.0,0.0,,
0,1,1.02,1.16,0,1,64,11,242021,1,49.0,7,71,316,FWD,Darwin,Núñez Ribeiro,12,2.8,290,3,239969,1,1,,,,1.25,14.67
0,0,0.0,0.0,0,0,0,11,7192,0,0.0,0,54,164,FWD,David Datro,Fofana,6,0.0,0,0,7770,0,0,,,,0.0,0.0
0,0,0.01,0.45,0,0,14,11,1484,0,2.0,1,49,62,MID,David,Brooks,3,0.8,44,0,1364,0,0,,,,0.37,1.0
0,0,0.0,0.0,0,0,0,11,143,0,0.0,0,45,212,MID,David,Ozoh,7,0.0,0,0,153,0,0,,,,0.0,0.0
0,0,0.0,1.28,1,0,90,11,3095312,1,0.0,2,56,15,GK,David,Raya Martin,1,1.6,540,6,3250416,0,0,5.45,9.0,0.0,,
0,0,0.0,1.83,2,0,90,11,1141893,1,0.0,2,44,201,GK,Dean,Henderson,7,3.6,540,6,1147457,0,0,7.99,8.0,1.0,,
0,0,0.23,0.53,0,0,23,11,9279,0,12.0,1,43,580,DEF,Dean,Huijsen,3,0.4,24,0,9894,0,0,1.16,0.0,0.0,,
0,0,0.07,1.22,1,0,70,11,293833,1,2.0,2,63,16,MID,Declan,Rice,1,2.6,520,6,303741,0,1,,,,1.58,8.67
0,0,0.0,0.0,0,0,0,11,15365,0,0.0,0,50,165,FWD,Deivid Washington,de Souza Eugênio,6,0.0,0,0,15341,0,0,,,,0.0,0.0
0,0,0.34,1.74,2,0,90,11,467160,1,8.0,2,63,492,MID,Dejan,Kulusevski,18,3.6,511,6,294747,2,1,,,,2.12,24.0
0,0,0.0,0.0,0,0,0,11,538,0,0.0,0,55,143,FWD,Deniz,Undav,5,0.0,0,0,564,0,0,,,,0.0,0.0
0,0,0.04,1.74,2,0,90,11,346888,1,6.0,1,49,505,DEF,Destiny,Udogie,18,2.0,483,6,306153,0,1,7.35,8.0,0.0,,
0,0,0.06,2.02,2,0,90,11,48644,1,33.0,1,45,35,DEF,Diego Carlos,Santos Silva,2,1.8,378,3,45961,0,0,6.87,8.0,1.0,,
0,0,0.01,0.73,0,0,56,11,1218431,1,2.0,1,51,369,DEF,Diogo,Dalot Teixeira,14,2.0,506,6,1076874,0,0,10.69,7.0,1.0,,
0,0,0.0,0.0,0,0,0,11,356994,0,0.0,0,73,317,MID,Diogo,Teixeira da Silva,12,1.8,209,3,688687,1,2,,,,1.02,5.83
0,0,0.0,0.0,0,0,0,11,7546,0,0.0,0,44,504,DEF,Djed,Spence,18,0.0,45,0,8527,0,0,0.62,0.0,0.0,,
0,1,0.22,0.47,0,0,74,11,368048,1,29.0,2,58,220,FWD,Dominic,Calvert-Lewin,8,2.0,485,6,572516,0,0,,,,2.33,28.33
0,0,0.4,1.74,2,0,90,11,1853239,1,46.0,2,77,82,FWD,Dominic,Solanke-Mitchell,18,5.4,530,6,1327344,3,2,,,,3.69,35.17
0,0,0.18,0.22,0,0,25,11,170118,0,2.0,1,63,336,MID,Dominik,Szoboszlai,12,1.2,324,3,197941,0,0,,,,1.32,11.33
0,0,0.0,0.0,0,0,0,11,1061489,0,0.0,0,58,230,MID,Dwight,McNeil,8,2.4,437,5,987228,2,1,,,,1.1,14.83
